/NM4/D X,/NM4/D Y,/NM2/D X,/NM2/D Y
1.481880994346436e-09,-0.009314585221018015,1.481880994346436e-09,0.05409842348076289
1.482364114838554e-09,-0.009283587284515013,1.482364114838554e-09,0.05556865683168227
1.482961800527431e-09,-0.009141414168289263,1.482961800527431e-09,0.05714007082877846
1.483497315880072e-09,-0.008948722916252542,1.483497315880072e-09,0.05823291591786824
1.483996375771477e-09,-0.00873219939229527,1.483996375771477e-09,0.05890290218921903
1.484496115637845e-09,-0.008480362908195285,1.484496115637845e-09,0.05920752022559805
1.4850227501979e-09,-0.00813105715638658,1.4850227501979e-09,0.05913579205916229
1.48553926881966e-09,-0.007665043989812778,1.48553926881966e-09,0.05903988700277524
1.486043694385877e-09,-0.007002023321199653,1.486043694385877e-09,0.05948388542774088
1.486469632081133e-09,-0.006184958114917549,1.486469632081133e-09,0.05979046020262635
1.486956111342657e-09,-0.004909759846560376,1.486956111342657e-09,0.05931069356327141
1.487445559517506e-09,-0.003298261437456675,1.487445559517506e-09,0.05830629784477954
1.487869021272045e-09,-0.001886765459126704,1.487869021272045e-09,0.0572248462270314
1.488312835134413e-09,-0.0007935503185153465,1.488312835134413e-09,0.05593303624350887
1.488670977383274e-09,1.985831586569405e-05,1.488670977383274e-09,0.05470987151187159
1.489078493335836e-09,0.001266090027085194,1.489078493335836e-09,0.05306761473068914
1.489503573371558e-09,0.002778705103444759,1.489503573371558e-09,0.05102920533239066
1.489876024882728e-09,0.004153431529718985,1.489876024882728e-09,0.04898102803325598
1.490228375824634e-09,0.005482118207891564,1.490228375824634e-09,0.04684457540835262
1.490609241026746e-09,0.006975706602922831,1.490609241026746e-09,0.04434356026722321
1.491179538052942e-09,0.009386459618122803,1.491179538052942e-09,0.04028655402237007
1.491653514226364e-09,0.0115730240699976,1.491653514226364e-09,0.03665168569138195
1.492068714518529e-09,0.01357012741089703,1.492068714518529e-09,0.03330534604701996
1.492535623827235e-09,0.0158456369505002,1.492535623827235e-09,0.0293972201981631
1.493075783898503e-09,0.01847215933082832,1.493075783898503e-09,0.02472410057952366
1.493680734843695e-09,0.02132587852833325,1.493680734843695e-09,0.01938024214702772
1.494350415629316e-09,0.02425270761926471,1.494350415629316e-09,0.01345217284630505
1.495084704244116e-09,0.02714881888107511,1.495084704244116e-09,0.007078334191322018
1.495844240605706e-09,0.02977192295583997,1.495844240605706e-09,0.0008164806733196826
1.496512572397055e-09,0.03181190206276799,1.496512572397055e-09,-0.004336622324867916
1.497155684671141e-09,0.03355689277937023,1.497155684671141e-09,-0.008930401591108292
1.497686144716064e-09,0.0348481980225885,1.497686144716064e-09,-0.01236524249866348
1.498128334917121e-09,0.03582007565794075,1.498128334917121e-09,-0.01488481073094078
1.498600277170784e-09,0.03676707252752101,1.498600277170784e-09,-0.01721918727349584
1.499256950683783e-09,0.03787882181150387,1.499256950683783e-09,-0.01976875707683405
1.49988215834697e-09,0.03865533079493703,1.49988215834697e-09,-0.02155003941245767
1.500435227863027e-09,0.03902946457199931,1.500435227863027e-09,-0.02268632048935812
1.501003524731362e-09,0.03904041509728051,1.501003524731362e-09,-0.02340046707515121
1.50165871652802e-09,0.03846716490347159,1.50165871652802e-09,-0.02356405575346962
1.502297858684093e-09,0.03721441874168267,1.502297858684093e-09,-0.02294989526300556
1.502858193410808e-09,0.03557559829795823,1.502858193410808e-09,-0.0217372575474852
1.503379195355809e-09,0.03369355103884553,1.503379195355809e-09,-0.02008553977042258
1.503913045921281e-09,0.03157951818300674,1.503913045921281e-09,-0.01791757384186827
1.504455268306116e-09,0.02946662232809532,1.504455268306116e-09,-0.01525113643291373
1.505026659608044e-09,0.0273136218794242,1.505026659608044e-09,-0.01199077608290662
1.505554456918898e-09,0.02524321395736698,1.505554456918898e-09,-0.00877219359453045
1.506067061144656e-09,0.02321539837067069,1.506067061144656e-09,-0.00606601509862368
1.506480160308204e-09,0.02161873805686929,1.506480160308204e-09,-0.005235727802574586
